X_pos,X_neg,Y_pos,Y_neg,Z_pos,Z_neg,Rot_pos,Rot_neg,Finish
8.56,6.405,2.7147,5.0,20.9,10.63,384.0,70.8,18.6
8.56,6.137,2.7147,5.0,20.9,13.44,384.0,394.47,19.3
8.56,6.167,2.421,5.0,20.9,12.33,384.0,392.69,20.1
8.56,5.851,2.1069,5.0,20.9,16.47,384.0,394.05,19.5
8.56,5.836,2.211,5.0,20.9,18.66,384.0,395.67,19.5
8.56,6.127,2.1224,5.0,20.9,14.09,384.0,387.69,20.4
8.56,6.474,2.4329,5.0,20.9,12.27,384.0,395.24,19.8
8.56,6.229,2.5451,5.0,20.9,15.55,384.0,391.23,19.4
8.56,6.195,2.7778,5.0,20.9,13.0,384.0,393.49,21.7
10.01,6.715,2.6775,6.0,17.8,10.16,432.0,395.59,22.8
10.01,5.913,2.3534,6.0,17.8,16.21,432.0,394.95,18.8
10.01,6.092,2.548,6.0,17.8,17.09,432.0,396.9,18.7
10.01,6.254,2.2565,6.0,17.8,10.45,432.0,388.74,18.5
10.01,5.928,2.4631,6.0,17.8,15.76,432.0,344.91,18.3
10.01,6.176,2.7301,6.0,17.8,12.04,432.0,393.3,21.2
10.01,6.021,2.7474,6.0,17.8,10.3,432.0,394.51,19.2
10.01,5.872,2.4775,6.0,17.8,15.37,432.0,338.63,20.4
10.01,5.731,2.7592,6.0,17.8,13.61,432.0,391.5,19.3
25.65,5.87,2.2577,2.0,19.1,14.37,188.0,389.15,22.0
25.65,6.004,2.1974,2.0,19.1,14.27,188.0,377.67,20.3
25.65,5.961,2.0869,2.0,19.1,17.93,188.0,378.09,20.5
25.65,5.856,1.9444,2.0,19.1,25.41,188.0,370.31,17.3
25.65,5.879,2.0063,2.0,19.1,17.58,188.0,379.38,18.8
25.65,5.986,1.9929,2.0,19.1,14.81,188.0,385.02,21.4
25.65,5.613,1.7572,2.0,19.1,27.26,188.0,359.29,15.7
21.89,5.693,1.7883,4.0,21.2,17.19,437.0,392.11,16.2
21.89,6.431,1.8125,4.0,21.2,15.39,437.0,396.9,18.0
21.89,5.637,1.9799,4.0,21.2,18.34,437.0,396.9,14.3
21.89,6.458,2.1185,4.0,21.2,12.6,437.0,395.04,19.2
21.89,6.326,2.271,4.0,21.2,12.26,437.0,396.9,19.6
21.89,6.372,2.3274,4.0,21.2,11.12,437.0,385.76,23.0
21.89,5.822,2.4699,4.0,21.2,15.03,437.0,388.69,18.4
21.89,5.757,2.346,4.0,21.2,17.31,437.0,262.76,15.6
21.89,6.335,2.1107,4.0,21.2,16.96,437.0,394.67,18.1
21.89,5.942,1.9669,4.0,21.2,16.9,437.0,378.25,17.4
21.89,6.454,1.8498,4.0,21.2,14.59,437.0,394.08,17.1
21.89,5.857,1.6686,4.0,21.2,21.32,437.0,392.04,13.3
21.89,6.151,1.6687,4.0,21.2,18.46,437.0,396.9,17.8
21.89,6.174,1.6119,4.0,21.2,24.16,437.0,388.08,14.0
21.89,5.019,1.4394,4.0,21.2,34.41,437.0,396.9,14.4
19.58,5.403,1.3216,5.0,14.7,26.82,403.0,396.9,13.4
19.58,5.468,1.4118,5.0,14.7,26.42,403.0,396.9,15.6
19.58,4.903,1.3459,5.0,14.7,29.29,403.0,396.9,11.8
19.58,6.13,1.4191,5.0,14.7,27.8,403.0,172.91,13.8
19.58,5.628,1.5166,5.0,14.7,16.65,403.0,169.27,15.6
19.58,4.926,1.4608,5.0,14.7,29.53,403.0,391.71,14.6
19.58,5.186,1.5296,5.0,14.7,28.32,403.0,356.99,17.8
19.58,5.597,1.5257,5.0,14.7,21.45,403.0,351.85,15.4
19.58,6.122,1.618,5.0,14.7,14.1,403.0,372.8,21.5
19.58,5.404,1.5916,5.0,14.7,13.28,403.0,341.6,19.6
19.58,5.012,1.6102,5.0,14.7,12.12,403.0,343.28,15.3
19.58,5.709,1.6232,5.0,14.7,15.79,403.0,261.95,19.4
19.58,6.129,1.7494,5.0,14.7,15.12,403.0,321.02,17.0
19.58,6.152,1.7455,5.0,14.7,15.02,403.0,88.01,15.6
19.58,5.272,1.7364,5.0,14.7,16.14,403.0,88.63,13.1
19.58,6.943,1.8773,5.0,14.7,4.59,403.0,363.43,41.3
19.58,6.066,1.7573,5.0,14.7,6.43,403.0,353.89,24.3
19.58,6.51,1.7659,5.0,14.7,7.39,403.0,364.31,23.3
19.58,6.25,1.7984,5.0,14.7,5.5,403.0,338.92,27.0
19.58,7.489,1.9709,5.0,14.7,1.73,403.0,374.43,50.0
19.58,7.802,2.0407,5.0,14.7,1.92,403.0,389.61,50.0
19.58,8.375,2.162,5.0,14.7,3.32,403.0,388.45,50.0
19.58,5.854,2.422,5.0,14.7,11.64,403.0,395.11,22.7
19.58,6.101,2.2834,5.0,14.7,9.81,403.0,240.16,25.0
19.58,7.929,2.0459,5.0,14.7,3.7,403.0,369.3,50.0
19.58,5.877,2.4259,5.0,14.7,12.14,403.0,227.61,23.8
19.58,6.319,2.1,5.0,14.7,11.1,403.0,297.09,23.8
19.58,6.402,2.2625,5.0,14.7,11.32,403.0,330.04,22.3
19.58,5.875,2.4259,5.0,14.7,14.43,403.0,292.29,17.4
19.58,5.88,2.3887,5.0,14.7,12.03,403.0,348.13,19.1
4.05,5.572,2.5961,5.0,16.6,14.69,296.0,396.9,23.1
4.05,6.416,2.6463,5.0,16.6,9.04,296.0,395.5,23.6
4.05,5.859,2.7019,5.0,16.6,9.64,296.0,393.23,22.6
4.05,6.546,3.1323,5.0,16.6,5.33,296.0,390.96,29.4
4.05,6.02,3.5549,5.0,16.6,10.11,296.0,393.23,23.2
4.05,6.315,3.3175,5.0,16.6,6.29,296.0,395.6,24.6
4.05,6.86,2.9153,5.0,16.6,6.92,296.0,391.27,29.9
2.46,6.98,2.829,3.0,17.8,5.04,193.0,396.9,37.2
2.46,7.765,2.741,3.0,17.8,7.56,193.0,395.56,39.8
2.46,6.144,2.5979,3.0,17.8,9.45,193.0,396.9,36.2
2.46,7.155,2.7006,3.0,17.8,4.82,193.0,394.12,37.9
2.46,6.563,2.847,3.0,17.8,5.68,193.0,396.9,32.5
2.46,5.604,2.9879,3.0,17.8,13.98,193.0,391.0,26.4
2.46,6.153,3.2797,3.0,17.8,13.15,193.0,387.11,29.6
2.46,7.831,3.1992,3.0,17.8,4.45,193.0,392.63,50.0
3.44,6.782,3.7886,5.0,15.2,6.68,398.0,393.87,32.0
3.44,6.556,4.5667,5.0,15.2,4.56,398.0,382.84,29.8
3.44,7.185,4.5667,5.0,15.2,5.39,398.0,396.9,34.9
3.44,6.951,6.4798,5.0,15.2,5.1,398.0,377.68,37.0
3.44,6.739,6.4798,5.0,15.2,4.69,398.0,389.71,30.5
3.44,7.178,6.4798,5.0,15.2,2.87,398.0,390.49,36.4
2.93,6.8,6.2196,1.0,15.6,5.03,265.0,393.37,31.1
2.93,6.604,6.2196,1.0,15.6,4.38,265.0,376.7,29.1
0.46,7.875,5.6484,4.0,14.4,2.97,255.0,394.23,50.0
1.52,7.287,7.309,2.0,12.6,4.08,329.0,396.9,33.3
1.52,7.107,7.309,2.0,12.6,8.61,329.0,354.31,30.3
1.52,7.274,7.309,2.0,12.6,6.62,329.0,392.2,34.6
1.47,6.975,7.6534,3.0,17.0,4.56,402.0,396.9,34.9
1.47,7.135,7.6534,3.0,17.0,4.45,402.0,384.3,32.9
2.03,6.162,6.27,2.0,14.7,7.43,348.0,393.77,24.1
2.03,7.61,6.27,2.0,14.7,3.11,348.0,395.38,42.3
2.68,7.853,5.118,4.0,14.7,3.81,224.0,392.78,48.5
2.68,8.034,5.118,4.0,14.7,2.88,224.0,390.55,50.0
10.59,5.891,3.9454,4.0,18.6,10.87,277.0,396.9,22.6
10.59,6.326,4.3549,4.0,18.6,10.97,277.0,394.87,24.4
10.59,5.783,4.3549,4.0,18.6,18.06,277.0,389.43,22.5
10.59,6.064,4.2392,4.0,18.6,14.66,277.0,381.32,24.4
10.59,5.344,3.875,4.0,18.6,23.09,277.0,396.9,20.0
10.59,5.96,3.8771,4.0,18.6,17.27,277.0,393.25,21.7
10.59,5.404,3.665,4.0,18.6,23.98,277.0,395.24,19.3
10.59,5.807,3.6526,4.0,18.6,16.03,277.0,390.94,22.4
10.59,6.375,3.9454,4.0,18.6,9.38,277.0,385.81,28.1
10.59,5.412,3.5875,4.0,18.6,29.55,277.0,348.93,23.7
10.59,6.182,3.9454,4.0,18.6,9.47,277.0,393.63,25.0
13.89,5.888,3.1121,5.0,16.4,13.51,276.0,392.8,23.3
13.89,6.642,3.4211,5.0,16.4,9.69,276.0,392.78,28.7
13.89,5.951,2.8893,5.0,16.4,17.92,276.0,396.9,21.5
13.89,6.373,3.3633,5.0,16.4,10.5,276.0,393.74,23.0
6.2,6.951,2.8617,8.0,17.4,9.71,307.0,391.7,26.7
6.2,6.164,3.048,8.0,17.4,21.46,307.0,395.24,21.7
6.2,6.879,3.2721,8.0,17.4,9.93,307.0,390.39,27.5
6.2,6.618,3.2721,8.0,17.4,7.6,307.0,396.9,30.1
6.2,8.266,2.8944,8.0,17.4,4.14,307.0,385.05,44.8
6.2,8.725,2.8944,8.0,17.4,4.63,307.0,382.0,50.0
6.2,8.04,3.2157,8.0,17.4,3.13,307.0,387.38,37.6
6.2,7.163,3.2157,8.0,17.4,6.36,307.0,372.08,31.6
6.2,7.686,3.3751,8.0,17.4,3.92,307.0,377.51,46.7
6.2,6.552,3.3751,8.0,17.4,3.76,307.0,380.34,31.5
6.2,5.981,3.6715,8.0,17.4,11.65,307.0,378.35,24.3
6.2,7.412,3.6715,8.0,17.4,5.25,307.0,376.14,31.7
6.2,8.337,3.8384,8.0,17.4,2.47,307.0,385.91,41.7
6.2,8.247,3.6519,8.0,17.4,3.95,307.0,378.95,48.3
6.2,6.726,3.6519,8.0,17.4,8.05,307.0,360.2,29.0
6.2,6.086,3.6519,8.0,17.4,10.88,307.0,376.75,24.0
6.2,6.631,4.148,8.0,17.4,9.54,307.0,388.45,25.1
6.2,7.358,4.148,8.0,17.4,4.73,307.0,390.07,31.5
4.93,6.481,6.1899,6.0,16.6,6.36,300.0,379.41,23.7
4.93,6.606,6.1899,6.0,16.6,7.37,300.0,383.78,23.3
4.93,6.897,6.3361,6.0,16.6,11.38,300.0,391.25,22.0
4.93,6.095,6.3361,6.0,16.6,12.4,300.0,394.62,20.1
4.93,6.358,7.0355,6.0,16.6,11.22,300.0,372.75,22.2
4.93,6.393,7.0355,6.0,16.6,5.19,300.0,374.71,23.7
5.86,5.593,7.9549,7.0,19.1,12.5,330.0,372.49,17.6
5.86,5.605,7.9549,7.0,19.1,18.46,330.0,389.13,18.5
5.86,6.108,8.0555,7.0,19.1,9.16,330.0,390.18,24.3
5.86,6.226,8.0555,7.0,19.1,10.15,330.0,376.14,20.5
5.86,6.433,7.8265,7.0,19.1,9.52,330.0,374.71,24.5
5.86,6.718,7.8265,7.0,19.1,6.56,330.0,393.74,26.2
5.86,6.487,7.3967,7.0,19.1,5.9,330.0,396.28,24.4
5.86,6.438,7.3967,7.0,19.1,3.59,330.0,377.07,24.8
5.86,6.957,8.9067,7.0,19.1,3.53,330.0,386.09,29.6
5.86,8.259,8.9067,7.0,19.1,3.54,330.0,396.9,42.8
3.64,6.108,9.2203,1.0,16.4,6.57,315.0,392.89,21.9
3.64,5.876,9.2203,1.0,16.4,9.25,315.0,395.18,20.9
3.75,7.454,6.3361,3.0,15.9,3.11,244.0,386.34,44.0
3.97,8.704,1.801,5.0,13.0,5.12,264.0,389.7,50.0
3.97,7.333,1.8946,5.0,13.0,7.79,264.0,383.29,36.0
3.97,6.842,2.0107,5.0,13.0,6.9,264.0,391.93,30.1
3.97,7.203,2.1121,5.0,13.0,9.59,264.0,392.8,33.8
3.97,7.52,2.1398,5.0,13.0,7.26,264.0,388.37,43.1
3.97,8.398,2.2885,5.0,13.0,5.91,264.0,386.86,48.8
3.97,7.327,2.0788,5.0,13.0,11.25,264.0,393.42,31.0
3.97,7.206,1.9301,5.0,13.0,8.1,264.0,387.89,36.5
3.97,5.56,1.9865,5.0,13.0,10.45,264.0,392.4,22.8
3.97,7.014,2.1329,5.0,13.0,14.79,264.0,384.07,30.7
3.97,8.297,2.4216,5.0,13.0,7.44,264.0,384.54,50.0
3.97,7.47,2.872,5.0,13.0,3.16,264.0,390.3,43.5
6.96,5.92,3.9175,3.0,18.6,13.65,223.0,391.34,20.7
6.96,5.856,4.429,3.0,18.6,13.0,223.0,388.65,21.1
6.96,6.24,4.429,3.0,18.6,6.59,223.0,396.9,25.2
6.96,6.538,3.9175,3.0,18.6,7.73,223.0,394.96,24.4
6.96,7.691,4.3665,3.0,18.6,6.58,223.0,390.77,35.2
6.41,6.758,4.0776,4.0,17.6,3.53,254.0,396.9,32.4
6.41,6.854,4.2673,4.0,17.6,2.98,254.0,396.9,32.0
6.41,7.267,4.7872,4.0,17.6,6.05,254.0,389.25,33.2
6.41,6.826,4.8628,4.0,17.6,4.16,254.0,393.45,33.1
6.41,6.482,4.1403,4.0,17.6,7.19,254.0,396.9,29.1
3.33,6.812,4.1007,5.0,14.9,4.85,216.0,396.9,35.1
3.33,7.82,4.6947,5.0,14.9,3.76,216.0,387.31,45.4
3.33,6.968,5.2447,5.0,14.9,4.59,216.0,392.23,35.4
3.33,7.645,5.2119,5.0,14.9,3.01,216.0,377.07,46.0
1.21,7.923,5.885,1.0,13.6,3.16,198.0,395.52,50.0
2.97,7.088,7.3073,1.0,15.3,7.85,285.0,394.72,32.2
2.25,6.453,7.3073,1.0,15.3,8.23,300.0,394.72,22.0
1.76,6.23,9.0892,1.0,18.2,12.93,241.0,341.6,20.1
5.32,6.209,7.3172,6.0,16.6,7.14,293.0,396.9,23.2
5.32,6.315,7.3172,6.0,16.6,7.6,293.0,396.9,22.3
5.32,6.565,7.3172,6.0,16.6,9.51,293.0,371.72,24.8
4.95,6.861,5.1167,4.0,19.2,3.33,245.0,396.9,28.5
4.95,7.148,5.1167,4.0,19.2,3.56,245.0,396.9,37.3
4.95,6.63,5.1167,4.0,19.2,4.7,245.0,396.9,27.9
13.92,6.127,5.5027,4.0,16.0,8.58,289.0,396.9,23.9
13.92,6.009,5.5027,4.0,16.0,10.4,289.0,396.9,21.7
13.92,6.678,5.9604,4.0,16.0,6.27,289.0,396.9,28.6
13.92,6.549,5.9604,4.0,16.0,7.39,289.0,392.85,27.1
13.92,5.79,6.32,4.0,16.0,15.84,289.0,396.9,20.3
2.24,6.345,7.8278,5.0,14.8,4.97,358.0,368.24,22.5
2.24,7.041,7.8278,5.0,14.8,4.74,358.0,371.58,29.0
2.24,6.871,7.8278,5.0,14.8,6.07,358.0,390.86,24.8
6.09,6.59,5.4917,7.0,16.1,9.5,329.0,395.75,22.0
6.09,6.495,5.4917,7.0,16.1,8.67,329.0,383.61,26.4
6.09,6.982,5.4917,7.0,16.1,4.86,329.0,390.43,33.1
2.18,7.236,4.022,7.0,18.4,6.93,222.0,393.68,36.1
2.18,6.616,3.37,7.0,18.4,8.93,222.0,393.36,28.4
2.18,7.42,3.0992,7.0,18.4,6.47,222.0,396.9,33.4
2.18,6.849,3.1827,7.0,18.4,7.53,222.0,396.9,28.2
9.9,6.635,3.3175,4.0,18.4,4.54,304.0,396.9,22.8
9.9,5.972,3.1025,4.0,18.4,9.97,304.0,396.24,20.3
9.9,4.973,2.5194,4.0,18.4,12.64,304.0,350.45,16.1
9.9,6.122,2.6403,4.0,18.4,5.98,304.0,396.9,22.1
9.9,6.023,2.834,4.0,18.4,11.72,304.0,396.3,19.4
9.9,6.266,3.2628,4.0,18.4,7.9,304.0,393.39,21.6
9.9,6.567,3.6023,4.0,18.4,9.28,304.0,395.69,23.8
9.9,5.705,3.945,4.0,18.4,11.5,304.0,396.42,16.2
9.9,5.914,3.9986,4.0,18.4,18.33,304.0,390.7,17.8
9.9,5.782,4.0317,4.0,18.4,15.94,304.0,396.9,19.8
9.9,6.382,3.5325,4.0,18.4,10.36,304.0,395.21,23.1
9.9,6.113,4.0019,4.0,18.4,12.73,304.0,396.23,21.0
7.38,6.426,4.5404,5.0,19.6,7.2,287.0,396.9,23.8
7.38,6.376,4.5404,5.0,19.6,6.87,287.0,396.9,23.1
7.38,6.041,4.7211,5.0,19.6,7.7,287.0,396.9,20.4
7.38,5.708,4.7211,5.0,19.6,11.74,287.0,391.13,18.5
7.38,6.415,4.7211,5.0,19.6,6.12,287.0,396.9,25.0
7.38,6.431,5.4159,5.0,19.6,5.08,287.0,393.68,24.6
7.38,6.312,5.4159,5.0,19.6,6.15,287.0,396.9,23.0
7.38,6.083,5.4159,5.0,19.6,12.79,287.0,396.9,22.2
3.24,5.868,5.2146,4.0,16.9,9.97,430.0,382.44,19.3
3.24,6.333,5.2146,4.0,16.9,7.34,430.0,375.21,22.6
3.24,6.144,5.8736,4.0,16.9,9.09,430.0,368.57,19.8
6.06,5.706,6.6407,1.0,16.9,12.43,304.0,394.02,17.1
6.06,6.031,6.6407,1.0,16.9,7.83,304.0,362.25,19.4
5.19,6.316,6.4584,5.0,20.2,5.68,224.0,389.71,22.2
5.19,6.31,6.4584,5.0,20.2,6.75,224.0,389.4,20.7
5.19,6.037,5.9853,5.0,20.2,8.01,224.0,396.9,21.1
5.19,5.869,5.2311,5.0,20.2,9.8,224.0,396.9,19.5
5.19,5.895,5.615,5.0,20.2,10.56,224.0,394.81,18.5
5.19,6.059,4.8122,5.0,20.2,8.51,224.0,396.14,20.6
5.19,5.985,4.8122,5.0,20.2,9.74,224.0,396.9,19.0
5.19,5.968,4.8122,5.0,20.2,9.29,224.0,396.9,18.7
1.52,7.241,7.0379,1.0,15.5,5.49,284.0,394.74,32.7
1.89,6.54,6.2669,1.0,15.9,8.65,422.0,389.96,16.5
3.78,6.696,5.7321,5.0,17.6,7.18,370.0,396.9,23.9
3.78,6.874,6.4654,5.0,17.6,4.61,370.0,387.97,31.2
4.39,6.014,8.0136,3.0,18.8,10.53,352.0,385.64,17.5
4.39,5.898,8.0136,3.0,18.8,12.67,352.0,364.61,17.2
4.15,6.516,8.5353,4.0,17.9,6.36,351.0,392.43,23.1
2.01,6.635,8.344,4.0,17.0,5.99,280.0,390.94,24.5
1.25,6.939,8.7921,1.0,19.7,5.89,335.0,389.85,26.6
1.25,6.49,8.7921,1.0,19.7,5.98,335.0,396.9,22.9
1.69,6.579,10.7103,4.0,18.3,5.49,411.0,370.78,24.1
1.69,5.884,10.7103,4.0,18.3,7.79,411.0,392.33,18.6
2.02,6.728,12.1265,5.0,17.0,4.5,187.0,384.46,30.1
1.91,5.663,10.5857,4.0,22.0,8.05,334.0,382.8,18.2
1.91,5.936,10.5857,4.0,22.0,5.57,334.0,376.04,20.6
18.1,6.212,2.1222,24.0,20.2,17.6,666.0,377.73,17.8
18.1,6.395,2.5052,24.0,20.2,13.27,666.0,391.34,21.7
18.1,6.127,2.7227,24.0,20.2,11.48,666.0,395.43,22.7
18.1,6.112,2.5091,24.0,20.2,12.67,666.0,390.74,22.6
18.1,6.398,2.5182,24.0,20.2,7.79,666.0,374.56,25.0
18.1,6.251,2.2955,24.0,20.2,14.19,666.0,350.65,19.9
18.1,5.362,2.1036,24.0,20.2,10.19,666.0,380.79,20.8
18.1,5.803,1.9047,24.0,20.2,14.64,666.0,353.04,16.8
18.1,8.78,1.9047,24.0,20.2,5.29,666.0,354.55,21.9
18.1,3.561,1.6132,24.0,20.2,7.12,666.0,354.7,27.5
18.1,4.963,1.7523,24.0,20.2,14.0,666.0,316.03,21.9
18.1,3.863,1.5106,24.0,20.2,13.33,666.0,131.42,23.1
18.1,4.97,1.3325,24.0,20.2,3.26,666.0,375.52,50.0
18.1,6.683,1.3567,24.0,20.2,3.73,666.0,375.33,50.0
18.1,7.016,1.2024,24.0,20.2,2.96,666.0,392.05,50.0
18.1,6.216,1.1691,24.0,20.2,9.53,666.0,366.15,50.0
18.1,5.875,1.1296,24.0,20.2,8.88,666.0,347.88,50.0
18.1,4.906,1.1742,24.0,20.2,34.77,666.0,396.9,13.8
18.1,4.138,1.137,24.0,20.2,37.97,666.0,396.9,13.8
18.1,7.313,1.3163,24.0,20.2,13.44,666.0,396.9,15.0
